	github_urls	creation_date	stars	num_contributors	num_commits
0	endernewton/tf-faster-rcnn	2017-01-23T19:51:32Z	3338	13	318
1	charlesq34/pointnet2	2017-08-31T03:18:54Z	1576	3	51
2	tkarras/progressive_growing_of_gans	2017-10-27T09:04:34Z	5131	1	33
3	tkipf/gcn	2016-11-11T10:59:21Z	4504	9	30
4	bichenwuucb/squeezedet	2016-12-09T04:09:14Z	713	2	60
5	marvinteichmann/kittiseg	2016-04-21T22:03:07Z	852	4	157
6	tensorflow/ranking	2018-12-03T20:48:57Z	1649	16	51
7	yixuanli/densenet-tensorflow	2016-09-22T14:52:49Z	575	3	47
8	hellochick/semantic-segmentation-tensorflow	2018-01-24T12:19:09Z	74	2	23
9	anishathalye/neural-style	2015-11-21T23:40:00Z	5147	14	83
10	visualcomputinginstitute/triplet-reid	2017-03-20T14:39:40Z	642	5	43
11	openai/pixel-cnn	2016-07-09T00:44:56Z	1648	9	68
12	marvinteichmann/multinet	2016-08-29T01:27:54Z	448	5	52
13	msiam/tfsegmentation	2017-07-29T17:22:33Z	539	3	519
14	aligholami/simpnet-tensorflow	2018-08-20T08:31:37Z	15	1	157
15	iro-cp/fcrn-depthprediction	2016-08-02T10:22:13Z	873	3	14
16	davidsandberg/facenet	2016-02-12T22:14:40Z	10489	28	566
17	michschli/relationprediction	2016-09-09T11:34:37Z	200	1	98
18	google/youtube-8m	2016-12-20T21:49:38Z	1893	25	339
19	deepmind/kinetics-i3d	2017-08-02T12:23:13Z	1159	1	3
20	marvinteichmann/kittibox	2016-08-11T19:28:13Z	384	3	112
21	jiahuiyu/wdsr_ntire2018	2018-03-29T19:34:17Z	519	2	19
22	iboing/cliquenet	2018-02-28T05:02:46Z	321	3	72
23	bichenwuucb/squeezeseg	2017-12-06T22:18:53Z	420	1	46
24	roimehrez/contextualloss	2018-02-05T10:06:39Z	347	1	27
25	simonmeister/unflow	2017-12-02T13:18:16Z	217	1	34
26	mikacuy/pointnetvlad	2018-03-16T15:31:04Z	181	1	37
27	naturomics/capsnet-tensorflow	2017-10-28T04:20:36Z	3673	8	148
28	nwojke/deep_sort	2017-02-04T13:17:42Z	2076	5	34
29	ry/tensorflow-resnet	2015-12-18T19:03:22Z	1516	1	60
30	djangogo/pose-tensorflow-annot	2017-05-03T14:04:46Z	5	1	4
31	charlesq34/pointnet	2017-01-31T04:50:28Z	2618	3	40
32	gy20073/bdd_driving_model	2017-04-09T23:47:14Z	193	2	59
33	astorfi/3d-convolutional-speaker-recognition	2017-06-18T23:13:18Z	634	1	87
34	mvig-sjtu/pointsift	2018-07-01T13:35:43Z	510	1	5
35	una-dinosauria/3d-pose-baseline	2017-04-20T23:05:16Z	865	1	22
36	lucassheng/avatar-net	2018-04-22T16:59:58Z	129	1	51
37	charlesq34/frustum-pointnets	2018-04-05T16:56:45Z	969	1	44
38	czhu95/ternarynet	2017-01-13T04:16:49Z	103	1	8
39	chenyilun95/tf-cpn	2018-03-20T14:56:11Z	714	2	58
40	cuguilke/microexpnet	2017-11-17T14:42:32Z	92	2	66
41	mrharicot/monodepth	2017-04-11T16:22:11Z	1568	4	33
42	fengju514/face-pose-net	2017-08-19T00:33:21Z	435	3	119
43	taokong/ron	2017-07-03T04:22:37Z	365	2	32
44	lengstrom/fast-style-transfer	2016-07-21T02:59:11Z	9004	13	54
45	robinatp/deeplab_tensorflow	2018-06-15T07:32:18Z	2	1	3
46	ckmarkoh/neuralart_tensorflow	2015-12-02T02:52:19Z	479	1	7
47	olgatias/icnet-tensorflow	2018-10-29T15:52:28Z	4	1	2
48	nyukat/birads_classifier	2018-06-08T15:55:19Z	84	1	1
49	yanbeic/deep-association-learning	2018-08-21T11:46:15Z	60	1	11
50	arslan-chaudhry/dcsp_segmentation	2017-07-14T15:57:28Z	33	1	7
51	prbonn/bonnet	2018-01-11T12:29:14Z	250	3	44
52	pomonam/learnablepoolingmethods	2018-05-31T13:56:21Z	39	3	364
53	yang7879/3d-recgan	2017-08-21T14:45:49Z	104	1	24
54	zemofreedom/psmnet-tensorflow	2018-08-30T02:59:53Z	21	1	4
55	guesswhatgame/guesswhat	2017-06-07T12:19:47Z	58	3	147
56	moabitcoin/holy-edge	2017-07-02T07:43:06Z	231	1	54
57	huangshiyu13/rpnplus	2017-03-06T08:12:13Z	190	3	36
58	aditya12agd5/divcolor	2017-04-20T05:46:49Z	18	1	22
59	makalo/cornernet	2018-10-05T18:24:40Z	115	1	6
60	yang7879/3d-recgan-extended	2018-01-30T16:36:38Z	81	1	47
61	pyun-ram/fl3d	2018-09-11T00:59:53Z	70	1	9
62	sheryl-ai/mvgcn	2018-03-12T22:35:15Z	70	1	69
63	yoyo000/mvsnet	2018-07-04T06:20:01Z	632	3	43
64	congweilin/cluster-loss-tensorflow	2017-11-19T16:01:41Z	29	1	34
65	btjhjeon/imm_tensorflow	2017-12-15T04:12:37Z	20	1	11
66	vlogroup/mri-variationalnetwork	2018-06-17T15:51:15Z	68	1	1
67	angusg/cleverhans-attacking-bnns	2017-12-12T14:22:26Z	17	1	4
68	qixuxiang/deeplabv3plus	2018-03-18T03:33:20Z	44	1	3
69	baumgach/acdc_segmenter	2017-06-13T10:13:07Z	40	3	63
70	seasonsh/docface	2018-05-14T17:15:47Z	253	2	23
71	gidobot/silhonet	2018-10-18T17:01:42Z	28	1	11
72	maggie0106/graph-cnn-in-3d-point-cloud-classification	2017-11-13T19:38:17Z	179	1	57
73	fengju514/expression-net	2018-01-29T06:50:53Z	390	3	81
74	guanghan/rolo	2016-07-22T00:43:08Z	774	1	10
75	tum-vision/learn_prox_ops	2017-07-28T14:09:03Z	25	2	19
76	imatge-upc/liverseg-2017-nipsws	2017-08-13T16:00:25Z	74	2	49
77	chenxi116/pnasnet.tf	2018-07-06T05:00:42Z	101	1	8
78	thtrieu/darkflow	2016-08-16T05:54:02Z	5494	27	542
79	tobiasgruening/aru-net	2017-12-07T07:46:19Z	97	1	34
80	rick-chang/onenet	2017-05-05T18:47:19Z	69	1	4
81	mathildor/deeplab-v3	2018-03-27T13:19:48Z	19	2	5
82	thu-ml/stochastic_gcn	2018-01-08T05:50:01Z	62	3	150
83	chengpengchen/tf-faster-rcnn-multi-img	2018-04-13T10:09:04Z	2	14	327
84	deeplearnphysics/faster-rcnn	2017-10-09T15:37:08Z	9	2	2
85	parisots/population-gcn	2017-04-28T15:08:13Z	63	2	10
86	bryanplummer/cite	2017-11-22T14:54:14Z	34	1	9
87	tegg89/srcnn-tensorflow	2016-12-05T11:21:29Z	435	1	40
88	jmiller656/edsr-tensorflow	2017-07-22T17:10:18Z	298	3	35
89	shubhomoydas/ad_examples	2017-11-03T16:30:18Z	524	3	444
90	ssydasheng/neural-kernel-network	2017-10-28T01:54:14Z	62	1	2
91	ogroth/shapestacks	2018-04-19T15:08:45Z	30	3	38
92	abewley/sort	2016-02-03T03:16:23Z	1555	2	30
93	parisots/gcn	2017-04-28T13:53:24Z	3	3	27
94	fate3439/localspecgcn	2019-08-29T20:47:00Z	7	1	37
95	xthan/polyvore	2017-10-09T05:41:20Z	109	2	33
96	kanchen-usc/grounder	2018-03-23T06:38:28Z	81	1	12
97	mattpoggi/pydnet	2018-07-04T15:13:21Z	78	1	21
98	marvinteichmann/kitticlass	2016-09-15T19:07:38Z	11	1	32
99	sullychen/autopilot-tensorflow	2016-10-01T20:18:23Z	1055	4	48
100	cardwing/codes-for-lane-detection	2018-10-12T05:53:41Z	624	4	231
101	cvlab-unibo/real-time-self-adaptive-deep-stereo	2018-10-12T08:46:58Z	216	3	15
102	remega/omcnn_2clstm	2017-09-12T10:40:12Z	92	1	35
103	viscom-ulm/mccnn	2018-07-05T10:50:24Z	75	1	25
104	chenhsuanlin/inverse-compositional-stn	2017-01-02T22:33:17Z	263	3	52
105	hizhangp/yolo_tensorflow	2016-10-25T10:51:54Z	744	3	22
106	taki0112/senet-tensorflow	2017-09-15T06:29:00Z	611	1	26
107	danfeix/scene-graph-tf-release	2017-04-06T01:06:48Z	293	2	13
108	vegesm/siamese-pose-estimation	2018-09-18T11:14:22Z	20	1	2
109	kanchen-usc/kac-net	2017-10-29T01:34:10Z	92	1	19
110	yulequan/pu-net	2018-01-20T17:47:49Z	211	1	35
111	geeklib/tf-faster-rcnn	2017-04-04T07:32:11Z	1	1	1
112	syb7573330/im2avatar	2018-05-07T19:46:53Z	100	2	14
113	da-molchanov/variance-networks	2018-07-13T23:52:26Z	37	2	11
114	smallcorgi/faster-rcnn_tf	2016-09-07T05:58:53Z	2261	7	49
115	visionlearninggroup/caption-guided-saliency	2016-12-21T04:07:07Z	89	1	10
116	bysowhat/densenet	2017-08-15T10:22:42Z	18	1	26
117	auroua/insightface_tf	2018-03-03T01:10:35Z	606	1	40
118	engineering-course/lip_jppnet	2018-04-09T08:40:44Z	273	2	12
119	ethz-asl/hierarchical_loc	2018-08-16T12:46:19Z	108	2	11
120	taki0112/densenet-tensorflow	2017-08-07T02:44:26Z	470	1	82
121	image-science-lab/onenet	2017-07-31T02:21:19Z	23	2	5
122	rohitgirdhar/attentionalpoolingaction	2017-11-03T23:09:25Z	228	3	19
123	akar43/lsm	2017-10-31T01:47:56Z	213	2	42
124	nyukat/breast_density_classifier	2018-06-06T22:15:35Z	128	2	4
125	bxshi/conmask	2017-03-15T20:09:58Z	77	1	20
126	wy1iu/dcnets	2018-06-02T07:30:11Z	114	2	29
127	twke18/adaptive_affinity_fields	2018-08-21T05:16:39Z	224	3	28
128	apacha/musicobjectdetector-tf	2017-11-30T10:25:08Z	35	30	3601
129	arashhosseini/3d-pose-baseline	2018-02-14T08:52:31Z	177	3	53
130	wenxinxu/resnet-in-tensorflow	2016-10-09T21:05:30Z	797	2	60
131	detectionteamucas/r2cnn_faster-rcnn_tensorflow	2018-05-21T01:53:51Z	475	1	60
132	deepsceneseg/ssma	2018-08-31T11:27:46Z	57	2	34
133	marvinteichmann/tensorflow-fcn	2016-05-27T21:18:35Z	1095	6	67
134	ronghanghu/cmn	2017-04-04T05:58:16Z	62	1	4
135	yuvalbahat/confidence_from_invariance	2018-05-09T16:25:06Z	5	1	39
136	aiff22/dped	2017-08-23T17:28:27Z	1157	1	5
137	stevenliuwen/ano_pred_cvpr2018	2018-03-13T06:30:09Z	232	2	25
138	shiyemin/shuttlenet	2017-01-30T03:06:09Z	31	1	12
139	y2l/social-relation-tensorflow	2018-12-01T15:03:50Z	11	1	71
140	wanggrun/kalman-normalization	2018-04-17T08:38:46Z	15	2	45
141	shaohua0116/multiview2novelview	2018-07-25T06:36:46Z	163	1	39
142	mpskex/convolutional-pose-machine-tf	2018-03-21T03:04:54Z	62	1	39
143	daniilidis-group/ev-flownet	2018-06-21T21:49:46Z	69	3	15
144	kkkzm2017/enhancenet	2017-11-16T22:53:01Z	3	1	1
145	val-iisc/nag	2017-08-31T07:02:16Z	19	1	30
146	fab-jul/imgcomp-cvpr	2018-03-28T08:34:42Z	124	3	19
147	mohomran/neural_body_fitting	2018-08-19T19:18:48Z	238	1	4
148	scenenn/pointwise	2018-04-03T06:08:55Z	112	2	9
149	akosiorek/hart	2017-06-27T17:12:14Z	143	3	19
150	uber/sbnet	2017-12-19T16:37:57Z	401	3	34
151	wzmsltw/bsn-boundary-sensitive-network	2018-07-02T08:40:09Z	322	1	15
152	idearibosome/tf-perceptual-eusr	2018-09-12T10:19:19Z	39	1	99
153	yzcjtr/geonet	2018-03-12T02:27:49Z	578	2	11
154	eborboihuc/deep360pilot-cvpr17	2017-05-22T10:13:10Z	32	2	14
155	kaiqizhang/admm-pruning	2018-04-19T19:09:53Z	64	1	7
156	senticnet/cascade--contextual-sarcasm-detection	2018-06-18T11:43:40Z	50	4	24
157	timgaripov/tensornet-tf	2016-05-03T19:15:03Z	182	4	36
158	wchen342/sketchygan	2018-03-08T21:08:38Z	101	1	21
159	detectionteamucas/rrpn_faster-rcnn_tensorflow	2018-09-01T08:57:50Z	223	1	15
160	pedrocwb/deep_lung_segmentation	2017-04-22T18:48:34Z	5	1	1
161	laughtervv/sgpn	2018-04-26T04:21:40Z	200	1	3
162	jakobchen/shuffleseg	2018-03-25T07:53:24Z	13	3	513
163	wy1iu/spherenet	2017-11-03T11:24:36Z	111	1	12
164	jakeret/tf_unet	2016-08-12T08:02:22Z	1580	12	205
165	yunbo426/predrnn-pp	2018-04-20T12:39:58Z	108	2	18
166	exelban/tensorflow-cifar-10	2017-03-19T12:15:03Z	82	3	37
167	louieyang/stroke-controllable-fast-style-transfer	2018-03-25T11:21:54Z	123	2	26
168	charlesshang/tffrcnn	2016-10-19T07:38:26Z	900	1	163
169	art-programmer/floornet	2018-03-29T01:27:52Z	100	4	34
170	mattpoggi/3net	2018-07-21T08:58:04Z	18	1	16
171	skyoung/memtrack	2018-05-03T13:02:20Z	60	1	6
172	csyhhu/l-obs	2017-10-20T08:51:04Z	51	2	17
173	charlesshang/fastmaskrcnn	2017-03-25T15:33:21Z	3004	9	175
174	poloclub/jpeg-defense	2018-02-05T18:42:21Z	63	6	63
175	engindeniz/cycle-dehaze	2018-03-24T18:11:33Z	74	1	6
176	ikhlestov/vision_networks	2017-01-27T18:32:43Z	266	4	48
177	lxh-123/vocseg	2017-04-15T14:02:09Z	3	1	5
178	renmengye/few-shot-ssl-public	2018-02-22T20:00:50Z	352	3	27
179	kujason/avod	2018-02-28T19:05:37Z	668	4	6
180	ndrplz/dilation-tensorflow	2017-06-01T10:03:02Z	134	1	20
181	microljy/dren_tensorflow	2017-07-21T03:29:58Z	10	2	10
182	vt-vl-lab/ican	2018-08-31T00:22:49Z	191	2	9
183	hzy46/fast-neural-style-tensorflow	2016-12-15T03:15:56Z	891	2	23
184	yulequan/ec-net	2018-07-04T07:19:20Z	57	1	20
185	kekeller/semantic_soy_deeplabv3plus	2018-06-17T17:19:39Z	5	1	8
186	rayat137/pose_3d	2018-04-01T04:45:00Z	65	1	47
187	angeladai/scancomplete	2017-12-24T02:37:21Z	185	1	9
188	kwotsin/tensorflow-enet	2017-06-05T07:24:07Z	236	1	29
189	amlankar/adascan-public	2017-07-21T02:03:00Z	37	1	5
190	elliottwu/deephdr	2018-07-27T11:02:20Z	104	1	14
191	eragonruan/text-detection-ctpn	2017-09-20T02:52:27Z	2833	2	60
192	lelechen63/mri-tumor-segmentation-brats	2018-01-12T04:54:06Z	92	1	42
193	columbiadvmm/spread-out_local_feature_descriptor	2017-07-24T08:28:24Z	33	1	12
194	cripac-dig/sr-gnn	2018-11-12T10:04:32Z	366	2	9
195	shiaoming/vid2depth	2018-07-19T02:18:36Z	21	1	2
196	anibali/dsnt-pose2d	2017-05-29T04:18:03Z	11	1	113
197	maybeshewill-cv/crnn_tensorflow	2017-09-25T06:17:28Z	814	8	245
198	commaai/research	2016-08-03T04:38:57Z	3895	12	36
199	asanakoy/deep_unsupervised_posets	2017-07-15T16:49:46Z	18	1	5
200	neuqgz/modify-faster-rcnn-tf	2018-06-30T00:44:14Z	1	1	1
201	yousseftamaazousti/muldipnet	2018-01-03T17:30:38Z	2	2	101
202	mbechtel2/deeppicar-v2	2018-04-18T13:52:07Z	97	4	49
203	zjngjng/maskrcnn	2018-03-09T23:00:50Z	1	13	307
204	brain-research/realistic-ssl-evaluation	2018-04-20T22:09:43Z	345	6	24
205	vt-vl-lab/df-net	2018-09-04T21:53:12Z	175	1	4
206	kil77/idcard_segmentation_with_deeplabv3-	2018-08-09T08:42:28Z	2	1	1
207	haebeom-lee/dropmax	2018-09-12T19:19:25Z	15	2	15
208	huidingumd/exprgan	2018-01-18T22:25:11Z	74	1	39
209	dvornikita/blitznet	2017-08-22T11:24:44Z	293	2	26
210	zsdonghao/u-net-brain-tumor	2017-06-05T16:17:51Z	351	1	29
211	microsoft/lq-nets	2018-07-19T09:14:18Z	178	2	9
212	pudae/tensorflow-densenet	2017-08-13T09:42:24Z	151	1	12
213	xdever/rfcn-tensorflow	2017-02-25T11:20:24Z	292	1	29
214	yfnn/fused-model	2017-11-07T03:27:18Z	1	11	253
215	bhanml/masking	2018-10-17T09:05:20Z	40	2	30
216	jiwoon-ahn/psa	2018-05-18T05:49:51Z	188	1	9
217	nischnei/depth_completion	2018-06-03T07:25:18Z	9	1	20
218	deepmind/graph_nets	2018-08-31T08:19:28Z	4334	8	30
219	dark-rinnegan/frustum-pointnets	2018-05-22T21:45:33Z	7	1	37
220	ocechain/gcn	2018-06-22T03:36:35Z	24	3	26
221	yeephycho/nasnet-tensorflow	2017-12-12T01:44:20Z	135	1	26
222	yukitsuji/3d_cnn_tensorflow	2017-04-03T11:15:26Z	244	1	62
223	pierluigiferrari/fcn8s_tensorflow	2017-10-01T00:45:17Z	40	1	54
224	mihaifieraru/human-pose-refiner	2018-10-23T15:39:53Z	9	1	10
225	kwotsin/tensorflow-xception	2017-05-09T11:59:18Z	176	2	27
226	seann999/ssd_tensorflow	2016-10-28T01:05:58Z	188	1	39
227	htung0101/3d_smpl	2018-02-15T20:02:58Z	82	2	2
228	timctho/mobilenet-v2-tensorflow	2018-01-23T17:47:06Z	65	1	7
229	ankush96/grad-cam.tensorflow	2017-01-12T13:06:06Z	196	1	7
230	tsenghungchen/sa-tensorflow	2016-04-21T18:06:04Z	153	3	20
231	innerpeace-wu/capsnet-tensorflow	2017-10-30T14:49:26Z	74	1	14
232	idearibosome/tf-bsrn-sr	2018-11-28T01:57:02Z	25	1	23
233	wangjksjtu/helmholtz-dl	2018-04-11T12:36:35Z	1	1	24
234	ljanyst/ssd-tensorflow	2017-11-05T15:37:35Z	153	1	195
235	yangxue0827/r2cnn_fpn_tensorflow	2017-11-14T13:47:01Z	393	1	127
236	deepmind/learning-to-learn	2016-12-06T08:25:37Z	3961	4	19
237	ankanbhunia/adversebinet	2018-10-24T18:10:27Z	19	1	27
238	hengchuan/rdn-tensorflow	2018-04-08T14:03:35Z	123	1	28
239	openai/gradient-checkpointing	2017-09-26T17:25:12Z	1953	12	140
240	hwalsuklee/tensorflow-style-transfer	2017-02-03T14:35:03Z	275	2	23
241	chrislybaer/capsules-tensorflow	2017-11-18T14:51:27Z	15	1	58
242	machrisaa/stylenet	2016-03-27T17:52:26Z	199	1	13
243	huanzhang12/certifiedrelurobustness	2018-04-23T23:32:04Z	22	2	5
244	ysharma1126/ead_attack	2017-09-13T00:18:11Z	30	1	54
245	tkuanlun350/tensorflow-segnet	2016-09-20T09:22:40Z	347	3	41
246	zhenheny/lego	2018-06-10T20:28:23Z	56	1	9
247	vmichals/figureqa-baseline	2018-02-22T20:04:39Z	23	1	1
248	rszeto/click-here-cnn	2017-05-12T19:25:59Z	7	1	90
249	ceciliavision/perceptual-reflection-removal	2017-12-10T23:37:08Z	189	2	28
250	yutingzhang/lmdis-rep	2018-06-19T15:00:58Z	104	2	14
251	renqianluo/nao	2018-10-26T05:38:51Z	244	2	24
252	xialeiliu/rotatenetworks	2018-04-11T08:36:03Z	21	2	5
253	zehaos/mobilenet	2017-04-19T07:55:09Z	1435	2	132
254	tonytheplaneswalker/pcn	2018-08-01T01:42:13Z	170	2	13
255	chunyuanli/mnist_inception_score	2017-08-28T20:33:52Z	22	1	38
256	manricheon/eusr-pcl-tf	2018-09-14T01:17:40Z	12	1	24
257	mvcnn/mvcnn	2017-09-19T09:58:16Z	19	3	29
258	shagunsodhani/pregel	2017-11-08T20:58:16Z	75	2	67
259	huaxiuyao/dmvst-net	2018-02-18T02:38:07Z	56	1	16
260	hualin95/everyone_is_van_gogh	2018-02-03T17:07:40Z	111	2	38
261	shaohua0116/group-normalization-tensorflow	2018-03-25T03:15:00Z	205	2	18
262	rishizek/tensorflow-deeplab-v3	2018-01-28T08:10:54Z	248	1	60
263	divelab/dtn	2017-05-24T18:44:17Z	50	3	70
264	pavelgonchar/face-transfer-tensorflow	2016-06-28T16:13:23Z	79	1	12
265	tmulc18/distributed-tensorflow-guide	2017-09-05T00:09:08Z	629	3	72
266	yeephycho/densenet-tensorflow	2017-08-22T13:53:23Z	40	1	27
267	yewzijian/3dfeatnet	2018-07-05T08:26:44Z	136	2	15
268	rishizek/tensorflow-deeplab-v3-plus	2018-02-25T05:20:09Z	635	2	66
269	kobiso/cbam-tensorflow-slim	2018-08-06T12:45:21Z	82	1	8
270	wanggrun/learning-feature-pyramids	2018-04-20T03:58:35Z	16	1	43
271	chenxi116/tf-phrasecut-public	2017-07-19T17:21:58Z	22	1	4
272	wangbm/mtcnn-tensorflow	2018-02-10T05:19:49Z	141	1	11
273	hongyanggao/pixeldcn	2017-02-24T20:26:30Z	88	2	209
274	bilylee/siamfc-tensorflow	2017-11-29T15:12:43Z	315	2	6
275	patwie/tensorflow-recipes	2017-12-07T07:46:13Z	71	1	45
276	victordibia/handtracking	2017-11-26T05:47:39Z	1203	5	49
277	dmarcosg/dsac	2018-03-13T15:57:36Z	53	1	4
278	yuleiniu/vc	2017-12-04T16:55:12Z	25	1	3
279	lorenmt/vsl	2017-05-18T23:20:32Z	24	2	37
280	pppoe/tensorflow-sphereface-asoftmax	2017-12-13T21:36:45Z	92	1	2
281	cydonia999/tiny_faces_in_tensorflow	2017-10-15T10:18:43Z	348	1	6
282	fuhongshuai/fuhs_graphcnn	2018-06-14T06:46:32Z	6	1	5
283	lukeoverride/deemotions	2017-04-27T14:37:36Z	4	2	52
284	taki0112/group_normalization-tensorflow	2018-03-25T05:39:43Z	31	1	15
285	www0wwwjs1/matrix-capsules-em-tensorflow	2017-11-20T01:37:31Z	207	2	114
286	jackyko1991/vnet-tensorflow	2018-02-13T11:05:02Z	92	1	101
287	deepblacksky/vgg_tensorflow	2017-05-02T12:24:22Z	24	1	11
288	georgeseif/semantic-segmentation-suite	2017-12-09T22:56:49Z	2096	6	170
289	taki0112/resnext-tensorflow	2017-08-23T06:16:24Z	141	1	18
290	timctho/shufflenet-v2-tensorflow	2018-08-30T01:27:57Z	56	1	3
291	yuanluya/dbnet_tensorflow	2017-07-22T05:04:29Z	26	2	8
292	bihaqo/t3f	2017-01-19T17:10:30Z	163	8	761
293	kweisamx/tensorflow-espcn	2017-12-04T03:55:17Z	41	2	25
294	levinj/ssd_tensorflow_voc	2017-03-29T02:41:33Z	56	1	118
295	panweihit/dropneuron	2016-06-13T20:22:43Z	58	2	46
296	ncgarcia/modality-distillation	2018-10-26T08:49:19Z	15	2	6
297	lisjin/dcan-tensorflow	2017-06-14T04:33:31Z	56	1	40
298	dgurkaynak/tensorflow-cnn-finetune	2017-06-21T10:47:33Z	156	1	24
299	vividda/3d-physnet	2018-07-02T01:25:25Z	9	1	8
300	takerum/vat_tf	2017-04-11T05:51:35Z	199	2	36
301	mg2033/shufflenet	2017-09-15T16:36:56Z	368	3	73
302	johnyc1995/dsn_tensorflow_code	2017-03-20T05:34:33Z	5	1	55
303	steven-lang/dfi-tensorflow	2017-01-21T13:38:32Z	65	1	99
304	luannd/minutiaenet	2017-12-16T17:04:29Z	61	1	15
305	kevinzakka/spatial-transformer-network	2017-01-07T10:02:58Z	661	2	51
306	debarko/capsnet-tensorflow	2017-11-01T00:16:59Z	122	2	52
307	vonclites/squeezenet	2016-10-13T03:15:50Z	115	1	18
308	yuhuima/dfn-tensorflow	2018-05-17T10:09:43Z	93	1	33
309	vyraun/dni-tensorflow	2017-01-08T09:39:21Z	30	2	32
310	noahfl/densenet-sdr	2018-05-14T21:03:46Z	151	3	79
311	drewnf/tensorflow_object_tracking_video	2016-08-01T17:05:45Z	480	3	22
312	jiyanggao/ctap	2018-07-07T23:32:43Z	35	2	26
313	ritchieng/resnet-tensorflow	2016-12-15T19:49:00Z	32	1	10
314	curiousai/mean-teacher	2017-05-15T09:29:00Z	889	4	40
315	qianguih/voxelnet	2018-02-06T05:24:20Z	421	1	15
316	markdtw/condensenet-tensorflow	2018-01-26T08:34:42Z	27	2	15
317	gaussic/text-classification-cnn-rnn	2017-08-28T05:41:22Z	2943	3	59
318	dalgu90/wrn-tensorflow	2016-10-25T20:27:13Z	18	1	10
319	devkihyun/rdn-tensorflow	2018-09-04T14:13:09Z	9	1	49
320	nanqingd/deeplabv3-tensorflow	2017-12-06T23:02:22Z	269	2	71
321	guanfuchen/deep_sort	2018-08-16T11:53:58Z	3	4	30
322	mtmc-deecamp2018/deep_sort	2018-08-04T05:52:12Z	7	1	4
323	taki0112/switchable_normalization-tensorflow	2018-07-02T09:25:43Z	23	1	9
324	jonathonluiten/premvos	2018-10-24T20:46:32Z	103	2	7
325	fabianbormann/tensorflow-deconvnet-segmentation	2016-09-04T17:34:28Z	225	5	46
326	yuxwind/epsilonresnet	2018-05-16T02:28:39Z	17	1	75
327	yangyanli/pointcnn	2017-08-22T22:45:32Z	1002	6	185
328	ailias/focal-loss-implement-on-tensorflow	2017-10-28T14:13:56Z	255	1	12
329	ramakanth-pasunuru/video-dialogue	2018-08-28T01:10:34Z	14	1	9
330	chenwuperth/rgz_rcnn	2018-03-11T03:37:02Z	33	3	105
