	github_urls	creation_date	stars	num_contributors	num_commits
331	tropcomplique/faceboxes-tensorflow	2018-03-03T20:23:30Z	163	1	30
332	georgesung/ssd_tensorflow_traffic_sign_detection	2017-01-23T09:37:15Z	438	1	9
333	woodrush/neural-art-tf	2015-11-24T13:58:27Z	538	2	7
334	yxlijun/cifar-tensorflow	2018-07-16T11:00:16Z	14	1	15
335	dalgu90/resnet-18-tensorflow	2017-03-13T13:34:30Z	147	1	20
336	ivclab/neuralmerger	2018-04-30T09:43:05Z	13	2	34
337	antlerros/tensorflow-fast-neuralstyle	2016-08-23T11:58:57Z	48	5	94
338	kozistr/rcan-tensorflow	2018-09-28T14:21:53Z	36	1	97
339	miguelmonteiro/vnet-tensorflow	2017-12-04T14:38:37Z	66	1	10
340	xiaosucheng/densecap-tensorflow	2017-12-10T08:52:16Z	7	1	11
341	mg2033/mobilenet	2017-09-22T13:55:15Z	110	2	35
342	memespaper/memes_pipeline	2018-09-15T18:44:26Z	25	2	4
343	dtananaev/tf_lstm_depth	2018-08-11T16:40:36Z	2	1	56
344	devkihyun/srcnn-tensorflow	2018-08-15T11:37:05Z	5	1	28
345	kobiso/senet-tensorflow-slim	2018-07-21T12:57:01Z	48	1	25
346	yangxue0827/r2cnn_head_fpn_tensorflow	2018-01-14T07:04:20Z	108	1	26
347	kweisamx/vdsr	2017-11-08T06:35:21Z	23	1	14
348	smellly/densenet-tensorflow	2018-01-31T09:49:11Z	2	4	51
349	dshahrokhian/yolo_tensorflow	2016-12-19T14:31:15Z	43	1	39
350	barisgecer/facegan	2017-08-15T13:36:30Z	149	4	165
351	kweisamx/tensorflow-srcnn	2017-10-24T03:56:16Z	21	1	12
352	3ammor/video-pixel-networks	2017-08-21T17:20:39Z	54	1	66
353	wenxichen/tensorflow_yolo2	2017-05-08T02:50:52Z	22	2	93
354	hwalsuklee/tensorflow-fast-style-transfer	2017-02-18T11:14:08Z	203	1	46
355	zhangdebin1119/py-faster-rcnn-cpu-	2017-07-04T12:15:08Z	1	4	199
356	jiny2001/dcscn-super-resolution	2017-06-13T07:01:27Z	555	4	141
357	hiwonjoon/maml-tensorflow	2017-10-23T19:40:04Z	17	1	11
358	tkuanlun350/3dunet-tensorflow-brats18	2018-07-31T11:14:27Z	147	1	16
359	xuyuwei/resnet-tf	2016-02-14T05:02:03Z	80	1	10
360	decayale/fcrn-depthprediction	2017-09-04T12:22:02Z	1	1	9
361	masazi/cnn_depth_tensorflow	2016-12-08T16:06:43Z	108	2	16
362	kendricktan/suiron	2016-09-13T14:44:18Z	713	2	47
363	lpqdao/models	2018-07-12T19:26:08Z	1	3	14
364	ayush1997/xvision	2017-01-02T11:56:15Z	294	3	54
365	coopss/emnist	2017-06-24T02:30:42Z	72	3	16
366	zhengyang-wang/3d-unet--tensorflow	2018-07-23T18:15:38Z	113	1	21
367	pedro-morgado/spatialaudiogen	2018-09-07T01:50:19Z	25	1	69
368	niudong1001/cognitive_mapping_and_planning	2018-06-25T12:14:25Z	1	1	2
369	habrman/facerecognition	2017-06-25T10:05:54Z	179	1	29
370	louieyang/deep-photo-styletransfer-tf	2017-08-06T04:31:40Z	729	2	30
371	shengjiazhao/pixelvae	2017-02-20T06:58:28Z	3	5	64
372	philipperemy/tensorflow-class-activation-mapping	2017-01-27T02:41:31Z	138	2	26
373	alexemg/deeplabcut	2018-03-26T22:29:12Z	1450	30	255
374	felixgruen/tensorflow-u-net	2017-12-14T00:38:33Z	28	1	11
375	yxu0611/tensorflow-implementation-of-lcnn	2017-09-19T10:46:52Z	76	1	71
376	bigsnarfdude/faster-rcnn_tf	2016-11-26T14:18:55Z	59	5	35
377	wangyueft/dgcnn	2018-02-03T05:49:29Z	600	5	29
378	ghwatson/faststyle	2017-01-05T17:08:16Z	163	1	52
379	faustomilletari/cfcm-2d	2018-06-01T17:50:53Z	26	2	9
380	tensorlayer/srgan	2017-04-20T17:08:27Z	2225	6	98
381	floydhub/fast-style-transfer	2017-02-12T09:15:44Z	122	10	42
382	taesung89/real-nvp	2016-11-11T22:59:54Z	88	1	35
383	wenwei202/terngrad	2017-05-21T02:34:51Z	152	25	280
384	taki0112/partial_conv-tensorflow	2018-12-11T08:15:44Z	85	1	15
385	olavhn/fast-neural-style	2016-04-26T14:33:29Z	197	1	15
386	sirius-ai/mobilefacenet_tf	2018-05-14T14:23:18Z	222	3	21
387	whitesockcat/discriminative-feature-network	2018-05-14T12:33:40Z	9	1	5
388	kevinjliang/tf-faster-rcnn	2016-12-29T00:41:54Z	164	2	203
389	naturomics/capslayer	2017-11-26T08:54:22Z	326	3	46
390	dq0408/sphereface-tensorflow	2018-05-14T10:11:17Z	15	1	7
391	li-ming-fan/ocr-detection-ctpn	2017-12-31T05:10:13Z	198	2	105
392	iwyoo/tps_stn-tensorflow	2016-11-02T00:41:09Z	29	1	10
393	zardinality/tf_deformable_net	2017-07-19T13:06:58Z	167	2	17
394	fregu856/segmentation	2017-07-29T13:19:56Z	236	1	53
395	zsdonghao/spatial-transformer-nets	2017-06-23T14:28:55Z	34	1	6
396	huanzhang12/crown-robustness-certification	2018-09-24T06:21:42Z	6	3	18
397	sangeet259/tensorflow_unpooling	2017-10-09T15:42:48Z	18	1	12
398	fwtan/who_where	2018-03-11T05:38:36Z	9	1	25
399	wbenbihi/hourglasstensorlfow	2017-05-28T01:19:15Z	414	1	58
400	eridgd/wct-tf	2017-09-23T23:44:37Z	280	3	117
401	deeprnn/image_captioning	2016-09-29T20:21:57Z	634	1	47
402	flrngel/transformer-tensorflow	2017-12-27T08:39:37Z	10	1	13
403	tgyg-jegli/tf_texture_net	2016-12-20T13:48:39Z	95	2	5
404	seathiefwang/rdn-tensorflow	2018-07-04T06:29:55Z	6	1	8
405	haebinshin/dec-tensorflow	2018-06-22T19:10:38Z	42	1	4
406	dazhang-cv/s3d	2018-07-13T03:59:25Z	19	1	1
407	tryolabs/luminoth	2017-02-16T15:07:46Z	2297	13	837
408	shashanktyagi/hyperface-tensorflow-implementation	2017-05-04T03:18:28Z	67	2	43
409	zhengyang-wang/unet_3d	2017-06-20T21:28:11Z	56	1	22
410	judyye/zero-shot-gcn	2018-06-05T01:59:28Z	789	2	47
411	nmhkahn/dncnn-tensorflow	2017-05-05T04:41:00Z	12	1	27
412	yselivonchyk/tensorflow_whatwhereautoencoder	2017-03-01T15:10:09Z	34	2	13
413	max-andr/joint-cnn-mrf	2018-01-15T17:01:22Z	36	2	42
414	marcoancona/deepexplain	2017-11-01T11:50:35Z	438	3	85
415	jorgeceja/food101-tensorflow	2017-05-26T00:59:47Z	16	1	14
416	stanford-futuredata/noscope	2017-03-02T23:32:05Z	397	2	35
417	ericzgw/pyramidbox	2018-06-20T07:39:59Z	256	1	13
418	hikapok/xception_tensorflow	2018-02-05T11:00:19Z	10	1	5
419	hikapok/ssd.tensorflow	2018-04-18T10:39:17Z	310	1	33
420	liuhengli/linknet_tensorflow	2018-02-08T09:41:40Z	16	1	6
421	llsourcell/capsule_networks	2017-10-31T18:05:22Z	559	1	4
422	albertlai/deep-style-transfer	2016-11-16T01:00:36Z	44	1	24
423	henrysky/astronn	2017-10-14T01:40:28Z	98	1	1502
424	maybeshewill-cv/lanenet-lane-detection	2018-05-29T02:22:10Z	1070	4	110
425	ly-atdawn/unet-tensorflow	2018-03-14T11:53:16Z	39	1	17
426	lesliejackson/yolov1_tensorflow	2017-01-01T03:35:56Z	15	1	50
427	cameronfabbri/compute-features	2018-02-19T17:32:25Z	286	1	43
428	hassony2/kinetics_i3d_pytorch	2017-08-21T09:13:22Z	349	3	65
429	v-shmyhlo/retinanet-tensorflow	2018-02-07T14:47:07Z	24	1	604
430	comindorg/federated-averaging-tutorials	2018-09-06T01:44:58Z	131	3	80
431	fregu856/2d_detection	2017-08-07T16:57:24Z	131	1	101
432	shaohua0116/activation-visualization-histogram	2017-06-10T12:32:18Z	375	2	18
433	llsourcell/yolo_object_detection	2017-11-15T20:14:34Z	1485	1	4
434	robinatp/tensorflow_model_slim_classify	2018-03-27T00:39:33Z	41	1	39
435	ichuang/tflearn_wide_and_deep	2016-08-28T00:06:36Z	147	1	7
436	openai/glow	2018-06-19T20:03:00Z	2550	4	30
437	mengrang/dfl-cnn-tensorflow	2018-09-11T02:15:24Z	68	1	95
438	vudung45/facerec	2017-06-12T07:51:00Z	183	3	56
439	shenweichen/deepctr	2017-10-07T07:40:37Z	3229	3	57
440	kastnerkyle/deform-conv	2017-03-30T04:15:53Z	150	1	2
441	hq-jiang/instance-segmentation-with-discriminative-loss-tensorflow	2018-03-01T19:24:59Z	146	1	28
442	lijiancheng0614/tensorflow_object_detection	2017-09-07T04:05:23Z	12	1	7
443	innerpeace-wu/im2p-tensorflow	2018-01-27T12:52:44Z	11	1	2
444	hasnainraz/fc-densenet-tensorflow	2018-04-09T20:18:53Z	103	1	44
445	ruiminshen/yolo-tf	2017-03-11T05:18:40Z	201	1	108
446	kleinyuan/tf-object-detection	2017-09-13T07:44:44Z	80	1	24
447	xusean0118/dvsnet	2018-03-02T05:55:20Z	113	1	27
448	geonseoks/ssd-tensorflow	2018-12-31T05:22:26Z	3	1	18
449	gitlimlab/representation-learning-by-learning-to-count	2017-08-23T12:21:59Z	89	1	16
450	corea/automatic-portrait-tf	2016-11-25T01:33:55Z	85	1	18
451	shanren7/real_time_face_recognition	2017-01-27T06:37:54Z	881	1	12
452	balancap/tf-imagenet	2018-02-27T10:48:49Z	50	1	34
453	nnuyi/non-local_nets-tensorflow	2018-02-02T13:38:35Z	67	1	44
454	stesha2016/tensorflow-classification	2018-07-03T10:39:38Z	4	1	59
455	darkonhub/darkon	2017-11-13T12:09:15Z	229	3	33
456	marsan-ma-zz/imgrec	2016-10-19T07:29:55Z	46	1	12
457	flyzaway/deep-cross-tensorflow	2018-03-20T00:55:52Z	15	1	3
458	alexacarlson/sensoreffectaugmentation	2018-09-23T12:12:17Z	13	1	8
459	zhongwen/predictron	2016-12-31T10:46:15Z	284	1	70
460	wanggrun/learning-feature-pyramids-for-coco	2018-06-25T09:32:22Z	4	1	24
461	bgshih/seglink	2017-07-17T21:13:30Z	242	1	4
462	sanster/tf_ctpn	2018-05-29T13:12:18Z	35	13	390
463	lixilinx/psgd_tf	2018-03-18T16:21:09Z	27	1	52
464	whitehuai/tensorflow-fcn	2017-07-24T13:46:40Z	3	1	2
465	asanakoy/deeppose_tf	2017-01-29T01:47:50Z	130	1	15
466	petarv-/gat	2018-02-01T02:17:22Z	1358	2	14
467	simo23/tinyyolov2	2017-08-08T08:37:35Z	95	1	29
468	machrisaa/tensorzoom	2016-10-26T16:22:03Z	178	1	14
469	buffer51/lstm-rcnn-pedestrian-detection	2016-06-16T15:34:23Z	88	1	79
470	daigo0927/pwc-net_tf	2018-05-05T14:48:23Z	51	2	130
471	yfxc/tensorflow-t3d	2018-08-26T16:13:24Z	10	1	13
472	samitok/deeppose	2016-02-01T21:16:26Z	23	1	22
473	dushyantadhyani/kdtf	2018-03-12T12:54:00Z	90	1	3
474	jack-willturner/batchnorm-pruning	2018-02-13T16:56:47Z	54	1	74
475	kelkelcheng/gc-net-tensorflow	2018-05-16T07:00:34Z	15	1	7
476	conan7882/googlenet-inception-tf	2017-12-06T19:26:24Z	195	2	40
477	benbenlijie/style_swap_tensorflow	2018-02-21T06:07:34Z	38	1	9
478	chenxi116/tf-deeplab	2017-01-09T20:33:14Z	20	1	13
479	ohadlights/mobilenetv2	2018-01-22T08:08:28Z	26	1	15
480	wenqiwenqi1/neural-style	2018-02-14T11:56:36Z	38	1	5
481	holyseven/pspnet-tf-reproduce	2018-04-13T15:18:20Z	121	1	54
482	hikapok/tf.fashionai	2018-04-05T06:53:55Z	239	1	18
483	tbornt/ucdig_tensorflow	2016-11-25T01:04:41Z	3	1	3
484	huanzhang12/clever	2018-01-31T01:13:05Z	32	2	40
485	kuku-sichuan/fpn_faster_rcnn	2018-08-13T02:33:30Z	30	2	19
486	chenyncv/senet-tensorflow	2017-11-29T14:23:24Z	7	2	53
487	yangxue0827/mobilefacenet_tensorflow	2018-07-31T12:25:34Z	62	1	2
488	jingxil/pointer-networks	2017-07-19T05:59:15Z	42	1	2
489	solivr/tf-crnn	2017-05-05T09:38:03Z	248	3	202
490	yxlijun/tensorflow-yolov1	2018-08-08T06:42:42Z	5	1	4
491	aiinai/tf-insightface	2018-05-31T05:09:53Z	171	1	9
492	aminehorseman/facial-expression-recognition-using-cnn	2018-01-24T19:45:11Z	190	2	45
493	gstaff/tfzip	2016-01-12T04:26:49Z	28	1	8
494	luxu1113/resnet-tensorflow	2017-11-21T14:46:05Z	2	1	19
495	auroua/tf_rfcn	2017-10-22T04:43:49Z	22	1	26
496	mfigurnov/sact	2017-03-23T15:06:00Z	224	1	60
497	railsnoob/ssd_tensorflow	2017-07-06T03:27:31Z	5	1	50
498	yule-li/cosface	2018-03-11T14:06:25Z	230	1	30
499	pocheyeniu/summarunner	2018-06-26T14:38:54Z	38	1	15
500	leeyoshinari/yolo_v2	2018-04-18T03:01:59Z	74	1	54
501	ibm/tensorflow-large-model-support	2018-10-31T17:04:50Z	109	6	11
502	akuanchang/edge-detection-using-deep-learning	2017-12-05T08:26:41Z	18	1	4
503	lizhuorong/adversarial-reprogramming-tensorflow	2018-08-11T04:01:11Z	8	1	12
504	pavelgonchar/colornet	2016-04-19T09:16:50Z	3515	1	37
505	gudarjs/facial-recognition-tensorflow	2017-12-28T03:35:24Z	8	1	13
506	avoroshilov/neural-style	2017-01-28T02:44:27Z	8	6	205
507	fisheess/modular_ssd_tensorflow	2017-09-06T14:39:32Z	8	1	75
508	zonetrooper32/vdcnn	2017-08-29T07:45:04Z	145	1	19
509	mshunshin/segnetcmr	2017-02-11T20:43:40Z	54	1	13
510	smallcorgi/3d-deepbox	2017-09-12T05:17:08Z	349	1	17
511	hikapok/x-detector	2018-02-07T14:30:48Z	120	1	21
512	shenmbsw/tensorflow-dropblock	2018-11-12T12:24:01Z	4	1	4
513	bai-shang/ocr_tf_crnn_ctc	2018-09-19T12:09:59Z	291	1	13
514	janivanecky/artistic-style	2016-08-05T09:43:42Z	164	2	5
515	ckchaos/tlnet-tensorflow	2018-04-29T07:31:58Z	2	1	4
516	hwalsuklee/tensorflow-mnist-mlp-batch_normalization-weight_initializers	2017-01-02T13:18:47Z	46	1	11
517	ildoonet/tf-lcnn	2017-08-17T10:06:13Z	39	1	10
518	raj-08/tensorflow-object-contour-detection	2018-06-04T08:14:39Z	53	1	8
519	hycis/tensorgraphx	2016-01-06T04:59:00Z	67	5	326
520	weilinie/backpropvis	2018-07-13T06:40:07Z	4	2	8
521	kevinhexin/unet_tensorflow	2018-10-29T00:22:35Z	1	1	12
522	muhammadzaheer/roadway_intel	2016-07-27T16:21:02Z	55	1	80
523	weisupreme/shufflenet2-tensorflow	2018-12-14T13:02:45Z	3	1	15
524	therne/relation-networks-tensorflow	2017-06-08T18:21:48Z	9	1	6
525	kimoktm/u-net	2017-04-24T00:00:43Z	50	1	1
526	saeeeeru/dtc-tensorflow	2018-09-23T12:10:26Z	44	3	3
527	oandrienko/fast-semantic-segmentation	2018-02-19T04:41:25Z	184	1	121
528	detectionteamucas/r-fcn_tensorflow	2018-12-27T12:30:52Z	16	1	2
529	avoroshilov/tf-squeezenet	2017-02-25T23:04:43Z	27	1	15
530	ritchieng/wideresnet-tensorlayer	2016-10-29T03:42:58Z	43	1	9
531	zjulearning/pixel_link	2018-03-26T09:38:54Z	717	2	23
532	hasnainraz/skin-segmentation-tensorflow	2018-02-01T20:06:49Z	35	1	6
533	shenduliandan/mobilenet-v2	2018-02-05T06:22:24Z	6	1	35
534	li-ming-fan/ocr-crnn-ctc	2017-12-31T06:54:50Z	74	1	90
535	amobiny/capsule_network_tensorflow	2018-01-08T02:49:16Z	6	2	16
536	eragonruan/refinenet-image-segmentation	2017-09-16T15:36:33Z	114	1	14
537	alvinzhu/py_densenet	2017-10-18T09:09:32Z	4	1	26
538	amir-saniyan/zfnet	2018-06-14T03:05:02Z	18	1	1
539	randaller/cnn-rtlsdr	2017-12-18T10:30:32Z	169	2	58
540	shuangxieirene/mobilenet-v2	2018-02-04T22:27:28Z	71	1	11
541	melonwan/densereg	2017-11-22T16:42:51Z	165	1	29
542	iwyoo/temporalregularitydetector-tensorflow	2016-09-24T03:20:23Z	14	1	10
543	ildoonet/tf-mobilenet-v2	2018-02-12T02:12:58Z	81	2	11
544	harry19902002/image-style-transfor	2016-07-22T10:20:20Z	136	1	3
545	dthiagarajan/grozi_tf	2016-05-23T19:34:50Z	6	2	78
546	alexander-rakhlin/iciar2018	2018-01-22T01:40:57Z	148	3	38
547	mercileesb/delf_tensorflow	2018-02-22T12:29:21Z	2	1	14
548	dengdan/seglink	2017-06-07T06:22:39Z	457	1	82
549	iamaaditya/image-compression-cnn	2016-12-27T00:00:12Z	206	2	29
550	ap229997/deeplab_tensorflow	2017-09-26T20:03:59Z	3	1	25
551	blouargant/deep_painting	2017-03-09T16:28:57Z	1	4	52
552	kim-skyline0205/monodepth	2018-05-15T05:42:30Z	1	4	34
553	loliverhennigh/steady-state-flow-with-neural-nets	2017-03-27T00:58:55Z	86	1	27
554	peace195/sppnet	2017-06-27T09:10:13Z	105	1	17
555	colincsl/temporalconvolutionalnetworks	2016-12-13T15:55:46Z	174	1	10
556	iwbn/age-estimation-ranking-tensorflow	2018-11-15T12:15:35Z	14	1	2
557	dengdan/tf-pvanet	2017-10-11T00:15:47Z	16	1	5
558	robbertbrand/yolo-tensorflow-implementation	2018-07-21T21:24:56Z	1	1	15
559	paengs/netreform	2016-05-11T08:14:38Z	4	1	11
560	deepsegment/fcn-googlenet	2017-05-06T09:53:40Z	45	2	139
561	crestonbunch/tbcnn	2017-04-14T15:34:03Z	86	1	4
562	learningtitans/isbi2017-part3	2017-03-06T04:39:28Z	55	2	18
563	ruishu/fast-style-transfer	2017-08-29T05:18:37Z	15	1	5
564	xjtuwyd/dorefa_cifar10	2017-11-08T09:22:52Z	26	1	3
565	bayeswatch/tf-variational-dropout	2017-07-26T14:55:24Z	20	1	30
566	panji1990/deep-subspace-clustering-networks	2017-08-17T04:25:17Z	137	1	96
567	shafeentejani/fast-style-transfer	2016-12-27T14:03:25Z	147	1	41
568	yuanming-hu/exposure	2018-02-18T16:25:46Z	511	2	96
569	katsugeneration/tensor-fsmn	2016-11-13T09:06:15Z	49	1	4
570	taogelose/my_yolo_tensorflow	2018-04-05T12:02:09Z	4	4	32
571	gitbosun/roomnet	2018-04-23T08:25:06Z	53	1	16
572	tonypeng/tensorstyle	2016-08-20T04:40:03Z	19	1	30
573	lucasb-eyer/nonlocal-tf	2018-03-08T15:59:12Z	66	1	3
574	hillox/tfmaskrcnn	2017-04-19T17:02:38Z	9	1	5
575	kkjh0723/icub-tensorflow	2017-03-29T02:03:03Z	1	1	29
576	mengrang/cpn-tensorflow	2018-06-05T04:40:50Z	6	1	9
577	paulchongpeng/yolo2tensorflow	2017-06-23T06:07:10Z	39	1	12
578	preritj/segmentation	2017-09-28T13:48:03Z	94	1	13
579	madrylab/cifar10_challenge	2017-07-12T05:32:42Z	220	4	20
580	tianzhongsong/tensorflow-quantization-test	2018-07-09T09:03:44Z	52	1	106
581	princeton-vl/pose-ae-demo	2017-06-20T20:05:03Z	89	1	6
582	bryanyzhu/deepof	2016-08-24T08:10:07Z	27	2	33
583	taigw/brats17	2017-12-14T14:09:35Z	248	2	95
584	worstprogrammercn/fcn-tensorflow-ade20k	2018-06-14T17:01:32Z	14	2	6
585	mingfx/siamfc-tensorflow	2018-12-28T10:14:33Z	4	3	5
586	truskovskiyk/logos.tensorflow	2018-05-26T19:33:36Z	11	1	10
587	jimmyyhwu/style-transfer	2016-12-12T08:17:15Z	24	1	3
588	kaonashi-tyc/rewrite	2016-10-26T03:11:46Z	614	1	20
589	rayanelleuch/speed-accuracy-trade-offs-for-modern-convolutional-object-detectors	2017-03-22T06:24:28Z	32	1	2
590	ryujaehun/alexnet	2017-10-12T12:37:43Z	20	1	11
591	proofbyconstruction/texture-networks	2016-03-18T22:52:18Z	21	1	20
592	aby2s/sharpmask	2018-04-28T04:25:33Z	26	1	26
593	leerel1991/facealignment_tensorflow	2018-12-02T07:41:23Z	53	1	26
594	jangsoopark/idn-tensorflow	2018-10-21T09:45:07Z	12	1	22
595	lerrel/grasp-detector	2017-03-13T15:38:09Z	36	2	20
596	jerryli27/twingan	2018-04-18T05:00:54Z	619	2	25
597	udacity/carnd-semantic-segmentation	2017-05-17T23:56:24Z	156	5	24
598	miguelmonteiro/crfasrnnlayer	2018-03-09T14:52:59Z	61	1	28
599	dawars/squeezenet-tf	2016-11-23T22:07:38Z	14	2	15
600	mohamedkeid/feed-forward-style-transfer	2017-01-16T04:16:56Z	78	1	26
601	tramac/densevoxnet-tensorflow	2018-05-08T09:32:26Z	17	1	11
602	mananrai/tensorflow-openpose	2018-10-17T07:29:57Z	4	2	101
603	nnuyi/peleenet	2018-05-09T00:46:44Z	83	1	38
604	cc-hpc-itwm/tensorquant	2017-09-27T11:11:19Z	44	2	46
605	mlearing/tensorflow-mtcnn	2019-01-05T12:58:51Z	1	1	1
606	pinto0309/tensorflow-enet	2018-10-11T15:28:49Z	3	2	29
607	shinjayne/shintb	2017-07-23T10:34:47Z	89	1	7
608	desimone/segmentation-models	2016-12-30T18:45:29Z	16	1	2
609	altosaar/vimco_tf	2016-11-04T19:26:12Z	5	2	17
610	arassadin/image-compression-benchmarking	2016-10-06T08:52:54Z	36	3	40
611	zonghaofan/dilation-tensorflow	2018-12-29T08:21:01Z	1	1	2
612	bethgelab/decompose	2018-03-27T12:56:28Z	35	2	79
613	ibm/max-object-detector	2018-03-09T23:29:27Z	62	18	44
614	kyubyong/sudoku	2016-12-19T01:52:51Z	713	4	24
615	ling-bao/mscnn	2018-04-12T14:17:14Z	72	1	14
616	kobiso/super-convergence-tensorflow-slim	2018-08-31T12:40:05Z	9	1	2
617	hikapok/tf-senet	2018-03-30T05:51:02Z	44	1	7
618	kejielyu/residual-attention-network	2018-02-01T07:35:22Z	38	1	8
619	ksaito-ut/atda	2017-12-28T07:03:25Z	16	1	12
620	feifeibear/distributed-resnet-tensorflow	2018-01-25T00:57:54Z	15	2	28
621	sk1712/gcn_metric_learning	2017-05-26T16:44:40Z	140	1	7
622	benbenlijie/style_transfer_tensorflow	2018-02-07T10:33:15Z	1	1	8
623	hoya012/shake-shake-tensorflow	2018-12-31T05:47:22Z	7	1	8
624	zhangqianhui/residual_image_learning_gan	2017-11-01T06:42:14Z	26	1	23
625	jaywongwang/densevideocaptioning	2018-10-06T15:18:32Z	105	1	77
626	eridgd/adain-tf	2017-08-29T22:04:47Z	50	1	42
627	magical2world/tensorflow-tree-cnn	2018-04-16T06:47:40Z	8	1	13
628	deworrall92/harmonicconvolutions	2016-03-24T17:58:16Z	235	3	556
629	milliondegree/semantic-segmentation-tensorflow	2017-12-15T07:48:07Z	9	1	42
630	mayuri0192/object-tracking-using-cnn-and-rnn	2018-02-06T00:48:19Z	45	1	19
631	bgshih/vgg16.tf	2016-05-25T03:58:58Z	12	1	5
632	min2209/dwt	2017-05-04T20:09:03Z	161	1	10
633	coder3101/neural-style-transfer	2018-08-22T15:31:05Z	5	1	5
634	halimacc/densehumanbodycorrespondences	2016-11-16T10:34:52Z	44	1	9
635	murdockhou/multiposenet-tensorflow	2018-09-29T08:13:03Z	14	1	6
636	mocr/ddpg	2016-02-09T16:14:27Z	36	2	27
637	sirius-ai/mobilenetv2_tf	2018-02-13T14:46:14Z	8	1	3
638	nnormandin/yellowfin_keras	2017-07-04T11:38:01Z	16	2	10
639	swxhss/densenet_tensorflow	2018-11-27T04:57:32Z	1	1	3
640	deep-diver/deepmodels	2018-08-23T11:47:03Z	33	1	147
641	frankgu/3d-densenet	2017-03-22T16:31:36Z	113	2	172
642	khushmeeet/squeezenet	2017-01-21T09:37:14Z	11	1	16
643	djl11/pwc_net_tensorflow	2018-07-10T05:35:56Z	15	1	12
644	dafanghe/tensorflow_scenetext_oriented_box_predictor	2018-10-31T00:05:03Z	25	1	18
645	helloyide/cross-stitch-networks-for-multi-task-learning	2018-07-15T13:34:19Z	56	1	33
646	anushuk/tensorflow-object-detection	2018-08-04T06:43:31Z	4	1	10
647	infocom-tpo/tf-openpose	2017-12-06T05:05:18Z	25	3	106
648	wzirui/guided-neural-style	2017-05-18T08:17:40Z	24	1	13
649	rachit2403/easy-cut	2018-09-28T14:31:30Z	10	1	54
650	tnikolla/robot-grasp-detection	2017-05-03T16:38:58Z	97	1	59
